,Код ННВЭД,Название товара,Описание  
1,8705908002,автомобиль,"Автомобили грузовые аварийные, бывшие в эксплуатации"
2,6109100000,футболка,"Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные, из хлопчатобумажной пряжи, машинного или ручного вязания"
3,6309000000,футболка,"Одежда и прочие изделия, бывшие в употреблении"
4,6116930000,перчатки,"Прочие перчатки, рукавицы и митенки трикотажные из синтетических нитей машинного или ручного вязания"
5,4015120001,перчатки,Перчатки хирургические
6,9001101000,кабель,"Кабели для передачи изображения, волоконно-оптические"
7,8414202000,насос,Пневматические насосы ручные для велосипедов
8,1101001509,мука,"Мука из пшеницы мягкой и спельты, прочая"
9,1102905000,мука,Мука рисовая
10,1102903000,мука,Мука овсяная